Type,Voltage,Current,Power,Reactive P,Neigh Voltage,Neight Current,Neigh Power,Neigh Reactive P,Sample
Closed,13551.94548,13.56974858,489830.4477,-321561.7118,13542.73383,2.042391134,84125.6481,45427.94288,1
Closed,13581.9238,13.56543053,486861.2172,-326466.2664,13572.78375,2.026295522,83611.99948,45174.42958,2
Closed,13611.7597,13.56244079,483872.3831,-331393.8483,13602.69176,2.010124998,83091.03277,44916.16866,3
Closed,13641.98712,13.56049733,480858.4403,-336378.1409,13632.99155,1.993971269,82566.98256,44657.89843,4
Closed,13672.18363,13.56013347,477807.4004,-341385.4726,13663.26076,1.977598303,82037.37862,44394.64633,5
Closed,13702.61915,13.5609065,474733.0154,-346443.8247,13693.76936,1.961201122,81504.72759,44128.07086,6
Closed,13733.20761,13.56315413,471636.4471,-351529.3587,13724.43122,1.944710287,80965.36435,43858.23289,7
Closed,13763.98133,13.56682065,468506.9833,-356659.9784,13755.27867,1.928286871,80424.95133,43589.30271,8
Closed,13794.88677,13.57191583,465349.8053,-361830.5296,13786.25811,1.911748112,79878.95976,43313.93416,9
Closed,13825.9636,13.57810507,462169.1727,-367031.4569,13817.40947,1.894982364,79324.81711,43034.09435,10
Closed,13857.02497,13.58586614,458950.2941,-372280.5726,13848.54572,1.878286121,78768.28024,42753.86755,11
Closed,13888.38703,13.59508293,455709.8121,-377568.8239,13879.98298,1.86137342,78202.7443,42469.64476,12
Closed,13919.96409,13.60580399,452440.5031,-382910.4155,13911.63553,1.844440166,77635.83534,42184.68864,13
Closed,13951.64998,13.61795015,449140.3135,-388279.933,13943.39728,1.827593073,77066.0027,41892.11036,14
Closed,13983.37933,13.63165924,445809.0993,-393696.5055,13975.2029,1.810537136,76490.27309,41596.62532,15
Closed,14015.24442,13.64668296,442449.1166,-399152.7394,14007.14478,1.793401333,75906.91275,41301.31812,16
Closed,14047.54799,13.6632153,439058.0731,-404652.6189,14039.52525,1.776170919,75317.38477,41001.25208,17
Closed,14079.78063,13.68147942,435633.3711,-410190.7224,14071.83533,1.758993338,74726.05439,40696.35475,18
Closed,14112.27473,13.70106776,432175.546,-415780.0165,14104.40729,1.741629293,74128.3333,40389.56483,19
Closed,14144.73188,13.72230676,428693.0255,-421415.5831,14136.94268,1.724091079,73523.62247,40077.23365,20
Closed,14177.56576,13.74499456,425176.1873,-427095.0043,14169.85523,1.706601071,72915.08715,39760.71433,21
Closed,14210.62754,13.76945541,421620.434,-432821.2037,14202.99593,1.689011958,72300.71793,39447.72298,22
Closed,14243.70017,13.79546827,418042.9039,-438574.7926,14236.14791,1.671336515,71681.33471,39124.05521,23
Closed,14276.99633,13.82300136,414430.1604,-444389.9852,14269.52392,1.653670035,71057.02008,38801.67532,24
Closed,14310.32956,13.8521528,410777.7025,-450251.3273,14302.93738,1.63574456,70422.64838,38470.27463,25
Closed,14343.99123,13.88313458,407090.5582,-456165.6435,14336.67957,1.61798104,69791.98319,38139.21548,26
Closed,14377.87709,13.91554554,403381.09,-462127.6172,14370.64645,1.599834379,69145.89177,37802.5312,27
Closed,14411.77793,13.94981151,399626.4885,-468122.7321,14404.62871,1.581736789,68499.69182,37462.14523,28
Closed,14445.96099,13.98542443,395838.3954,-474171.8783,14438.89363,1.563660706,67842.83975,37119.28378,29
Closed,14480.17691,14.02300881,392021.2017,-480276.9577,14473.19186,1.545356892,67183.40209,36771.92584,30
Closed,14514.8277,14.06227115,388169.1043,-486434.0659,14507.92529,1.527016077,66518.79902,36420.56636,31
Closed,14549.45285,14.10311059,384276.4614,-492628.6376,14542.63354,1.508640859,65845.60307,36061.0635,32
Closed,14584.38467,14.145755,380349.4661,-498874.6848,14577.64883,1.490176059,65170.71559,35702.90758,33
Closed,14619.39506,14.19003598,376386.7489,-505187.4448,14612.74327,1.471459317,64482.59089,35338.62278,34
Closed,14654.6693,14.23623193,372390.6231,-511529.5358,14648.10185,1.452710748,63791.1978,34969.29261,35
Closed,14689.90756,14.28409343,368345.6366,-517943.6256,14683.42506,1.434079812,63097.31915,34599.10294,36
Closed,14725.68983,14.33365322,364276.0843,-524398.8172,14719.29258,1.415229709,62393.24721,34223.15518,37
Closed,14761.39211,14.38490862,360150.6969,-530913.1741,14755.08064,1.396169001,61681.53177,33841.64913,38
Closed,14797.45231,14.43813757,356011.9623,-537480.5011,14791.22697,1.377142203,60964.78945,33455.79328,39
Closed,14833.55416,14.49307816,351815.6447,-544095.8248,14827.41545,1.357950271,60242.20542,33064.23294,40
Closed,14869.87651,14.54965732,347580.7272,-550774.9004,14863.82506,1.338692846,59509.50969,32671.5684,41
Closed,14906.528,14.60818901,343315.8187,-557497.5614,14900.56402,1.319490938,58779.67345,32272.68131,42
Closed,14943.36874,14.66827035,338998.2631,-564289.8159,14937.4929,1.300154527,58036.87384,31870.49332,43
Closed,14980.33107,14.73034658,334649.7736,-571131.9836,14974.5437,1.280679685,57284.36921,31463.69381,44
Closed,15017.35217,14.7943047,330259.7992,-578031.5282,15011.65389,1.261059872,56528.758,31048.80122,45
Closed,15054.81467,14.85990333,325823.8612,-584988.0909,15049.20581,1.241225947,55762.45788,30630.32614,46
Closed,15092.28277,14.9275036,321344.6332,-591997.0141,15086.7639,1.221487978,54991.0429,30206.80194,47
Closed,15130.06333,14.99687487,316824.047,-599085.6099,15124.63487,1.201510181,54212.80532,29778.60088,48
Closed,15168.15269,15.06788562,312261.2604,-606218.8406,15162.81518,1.181441964,53426.54165,29346.63958,49
Closed,15206.27319,15.1408775,307650.1598,-613423.0667,15201.02718,1.161401505,52631.76026,28910.1075,50
