Type,Voltage Self Open,Voltage Neigh Open,Current Self Open,Current Neigh Open,Power Self Open,Power Neigh Open,Reactive Power Self Open,Reactive Power Neigh Open,Sample
Closed,2272.298377,1972.061712,2.246203146,144.7122778,128.8147863,1211.189674,-3.75E+02,-5.82E-09,48
Closed,2275.705973,1975.426789,2.254558326,144.7348496,126.5670756,1211.472692,-3.77E+02,2.36E-08,49
Closed,2279.127904,1978.805104,2.263186369,144.755545,124.015329,1211.776543,-3.78E+02,1.53E-08,50
Open,2153.474172,1857.778529,0.002151763,143.6687819,0.354419603,1197.080763,-2.83E-04,1.47E-08,51
Open,2155.402461,1859.66389,0.002153698,143.6921281,0.354514599,1197.377916,-2.85E-04,-4.06E-09,52
Open,2157.352882,1861.566645,0.002155656,143.7163921,0.354609074,1197.64809,-2.87E-04,8.31E-09,53
Open,2159.287089,1863.458375,0.002157598,143.7399474,0.354704379,1197.947341,-2.89E-04,3.65E-10,54
Open,2161.26945,1865.391715,0.002159588,143.7619224,0.354800166,1198.238224,-2.91E-04,-2.15E-11,55
Open,2163.223196,1867.300777,0.002161551,143.785133,0.354895676,1198.532785,-2.93E-04,1.07E-08,56
Open,2165.191191,1869.221412,0.002163528,143.8090698,0.354991194,1198.811513,-2.95E-04,1.76E-09,57
Open,2167.1571,1871.142366,0.002165503,143.8321224,0.355087017,1199.109627,-2.97E-04,5.15E-09,58
Open,2169.130758,1873.070011,0.002167487,143.8552588,0.355182751,1199.39724,-2.99E-04,-6.53E-10,59
Open,2171.106776,1875.000698,0.002169473,143.8792999,0.355278495,1199.682888,-3.00E-04,2.64E-09,60
Open,2173.085945,1876.933803,0.002171463,143.9025669,0.355374424,1199.972588,-3.02E-04,-1.21E-09,61
Open,2175.044188,1878.850847,0.002173433,143.926153,0.355470019,1200.271879,-3.04E-04,-7.09E-09,62
Open,2177.049692,1880.807711,0.00217545,143.9501474,0.355566153,1200.549347,-3.05E-04,1.51E-08,63
Open,2179.02711,1882.742413,0.00217744,143.9730271,0.355662435,1200.856885,-3.07E-04,1.05E-08,64
Open,2181.047579,1884.71367,0.002179473,143.9962268,0.355759051,1201.137921,-3.08E-04,-8.34E-09,65
Open,2183.031788,1886.654408,0.00218147,144.0204743,0.355855004,1201.425406,-3.09E-04,1.14E-08,66
Open,2185.031999,1888.61085,0.002183484,144.0429234,0.355951672,1201.734897,-3.11E-04,3.94E-09,67
Open,2187.054595,1890.584666,0.00218552,144.0667672,0.356047964,1202.008972,-3.12E-04,-2.82E-09,68
Open,2189.052565,1892.540329,0.002187533,144.090284,0.356144702,1202.31561,-3.13E-04,-7.38E-09,69
Open,2191.078537,1894.520355,0.002189573,144.1131184,0.356241532,1202.613328,-3.14E-04,4.87E-09,70
Open,2193.091913,1896.48888,0.002191602,144.1371251,0.356338017,1202.902873,-3.15E-04,-5.79E-09,71
Open,2195.119016,1898.470117,0.002193644,144.1613148,0.356434796,1203.186159,-3.16E-04,4.84E-09,72
Open,2197.164907,1900.469945,0.002195706,144.1833943,0.356531913,1203.493761,-3.17E-04,4.11E-09,73
Open,2199.202633,1902.4616,0.00219776,144.2066441,0.356628903,1203.785962,-3.17E-04,5.96E-09,74
